Прибор: ;Hydra-L (01); ; Интервал: ;2023-02-09 00:00:00; / ;2023-03-09 00:00:00;
Date;BME280_temp;BME280_pressure;BME280_humidity;
2023-02-21 14:50:54;28.84;730.53;17.48;
2023-02-21 14:51:56;28.85;730.51;17.34;
2023-02-21 14:52:53;28.83;730.52;17.41;
2023-02-21 14:53:43;28.68;730.58;17.37;
2023-02-21 14:54:37;28.62;730.61;17.54;
2023-02-21 14:55:28;28.64;730.59;17.52;
2023-02-21 14:56:27;28.62;730.6;17.34;
2023-02-21 14:57:27;28.55;730.57;17.32;
2023-02-21 14:58:27;28.54;730.58;17.31;
2023-02-21 14:59:27;28.59;730.59;17.39;
2023-02-21 15:00:27;28.63;730.57;17.4;
2023-02-21 15:10:28;28.51;730.63;17.06;
2023-02-21 15:20:30;28.33;730.68;16.58;
2023-02-21 15:30:27;28.15;730.93;16.31;
2023-02-21 15:40:27;27.97;730.97;16.01;
2023-02-21 15:50:27;27.75;731.08;15.76;
2023-02-21 16:00:27;27.71;731.21;15.73;
2023-02-21 16:10:27;27.55;731.24;15.44;
2023-02-21 16:20:27;27.56;731.4;15.63;
2023-02-21 16:30:28;27.31;731.49;15.3;
2023-02-21 16:40:27;27.18;731.61;15.1;
2023-02-21 16:50:27;27.07;731.76;14.91;
2023-02-21 17:00:27;27;731.84;14.83;
2023-02-21 17:01:28;27.08;731.86;14.95;
2023-02-21 17:02:27;26.99;731.87;15.01;
2023-02-21 17:03:27;27;731.92;15.01;
2023-02-21 17:04:27;27.03;731.93;15.06;
2023-02-21 17:05:27;27.07;731.91;15.08;
